"Statistic Label","Year","Sex","UNIT","VALUE"
"Median Real Household Disposable Income","2020","Both sexes","Euro","43915"
"Median Real Household Disposable Income","2020","Male","Euro","44519"
"Median Real Household Disposable Income","2020","Female","Euro","43235"
"Median Real Household Disposable Income","2021","Both sexes","Euro","46627"
"Median Real Household Disposable Income","2021","Male","Euro","49434"
"Median Real Household Disposable Income","2021","Female","Euro","43750"
"Median Real Household Disposable Income","2022","Both sexes","Euro",""
"Median Real Household Disposable Income","2022","Male","Euro",""
"Median Real Household Disposable Income","2022","Female","Euro",""
"Mean Real Household Disposable Income","2020","Both sexes","Euro","52941"
"Mean Real Household Disposable Income","2020","Male","Euro","54565"
"Mean Real Household Disposable Income","2020","Female","Euro","51627"
"Mean Real Household Disposable Income","2021","Both sexes","Euro","54930"
"Mean Real Household Disposable Income","2021","Male","Euro","58099"
"Mean Real Household Disposable Income","2021","Female","Euro","52125"
"Mean Real Household Disposable Income","2022","Both sexes","Euro",""
"Mean Real Household Disposable Income","2022","Male","Euro",""
"Mean Real Household Disposable Income","2022","Female","Euro",""
"Median Nominal Household Disposable Income","2020","Both sexes","Euro","43915"
"Median Nominal Household Disposable Income","2020","Male","Euro","44519"
"Median Nominal Household Disposable Income","2020","Female","Euro","43235"
"Median Nominal Household Disposable Income","2021","Both sexes","Euro","46471"
"Median Nominal Household Disposable Income","2021","Male","Euro","49268"
"Median Nominal Household Disposable Income","2021","Female","Euro","43603"
"Median Nominal Household Disposable Income","2022","Both sexes","Euro",""
"Median Nominal Household Disposable Income","2022","Male","Euro",""
"Median Nominal Household Disposable Income","2022","Female","Euro",""
"Mean Nominal Household Disposable Income","2020","Both sexes","Euro","52941"
"Mean Nominal Household Disposable Income","2020","Male","Euro","54565"
"Mean Nominal Household Disposable Income","2020","Female","Euro","51627"
"Mean Nominal Household Disposable Income","2021","Both sexes","Euro","54746"
"Mean Nominal Household Disposable Income","2021","Male","Euro","57904"
"Mean Nominal Household Disposable Income","2021","Female","Euro","51950"
"Mean Nominal Household Disposable Income","2022","Both sexes","Euro",""
"Mean Nominal Household Disposable Income","2022","Male","Euro",""
"Mean Nominal Household Disposable Income","2022","Female","Euro",""
"Median Equivalised Real Disposable Income","2020","Both sexes","Euro","24013"
"Median Equivalised Real Disposable Income","2020","Male","Euro","24073"
"Median Equivalised Real Disposable Income","2020","Female","Euro","23939"
"Median Equivalised Real Disposable Income","2021","Both sexes","Euro","25349"
"Median Equivalised Real Disposable Income","2021","Male","Euro","25708"
"Median Equivalised Real Disposable Income","2021","Female","Euro","25146"
"Median Equivalised Real Disposable Income","2022","Both sexes","Euro",""
"Median Equivalised Real Disposable Income","2022","Male","Euro",""
"Median Equivalised Real Disposable Income","2022","Female","Euro",""
"Mean Equivalised Real Disposable Income","2020","Both sexes","Euro","27762"
"Mean Equivalised Real Disposable Income","2020","Male","Euro","28038"
"Mean Equivalised Real Disposable Income","2020","Female","Euro","27491"
"Mean Equivalised Real Disposable Income","2021","Both sexes","Euro","28850"
"Mean Equivalised Real Disposable Income","2021","Male","Euro","29308"
"Mean Equivalised Real Disposable Income","2021","Female","Euro","28399"
"Mean Equivalised Real Disposable Income","2022","Both sexes","Euro",""
"Mean Equivalised Real Disposable Income","2022","Male","Euro",""
"Mean Equivalised Real Disposable Income","2022","Female","Euro",""
"Median Equivalised Nominal Disposable Income","2020","Both sexes","Euro","24013"
"Median Equivalised Nominal Disposable Income","2020","Male","Euro","24073"
"Median Equivalised Nominal Disposable Income","2020","Female","Euro","23939"
"Median Equivalised Nominal Disposable Income","2021","Both sexes","Euro","25264"
"Median Equivalised Nominal Disposable Income","2021","Male","Euro","25622"
"Median Equivalised Nominal Disposable Income","2021","Female","Euro","25062"
"Median Equivalised Nominal Disposable Income","2022","Both sexes","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Male","Euro",""
"Median Equivalised Nominal Disposable Income","2022","Female","Euro",""
"Mean Equivalised Nominal Disposable Income","2020","Both sexes","Euro","27762"
"Mean Equivalised Nominal Disposable Income","2020","Male","Euro","28038"
"Mean Equivalised Nominal Disposable Income","2020","Female","Euro","27491"
"Mean Equivalised Nominal Disposable Income","2021","Both sexes","Euro","28753"
"Mean Equivalised Nominal Disposable Income","2021","Male","Euro","29210"
"Mean Equivalised Nominal Disposable Income","2021","Female","Euro","28304"
"Mean Equivalised Nominal Disposable Income","2022","Both sexes","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Male","Euro",""
"Mean Equivalised Nominal Disposable Income","2022","Female","Euro",""
"At Risk of Poverty Rate","2020","Both sexes","%","13.2"
"At Risk of Poverty Rate","2020","Male","%","13.1"
"At Risk of Poverty Rate","2020","Female","%","13.4"
"At Risk of Poverty Rate","2021","Both sexes","%","11.6"
"At Risk of Poverty Rate","2021","Male","%","11.3"
"At Risk of Poverty Rate","2021","Female","%","12"
"At Risk of Poverty Rate","2022","Both sexes","%",""
"At Risk of Poverty Rate","2022","Male","%",""
"At Risk of Poverty Rate","2022","Female","%",""
"Deprivation Rate","2020","Both sexes","%","14.3"
"Deprivation Rate","2020","Male","%","13.6"
"Deprivation Rate","2020","Female","%","15.1"
"Deprivation Rate","2021","Both sexes","%","13.8"
"Deprivation Rate","2021","Male","%","12.9"
"Deprivation Rate","2021","Female","%","14.8"
"Deprivation Rate","2022","Both sexes","%","17.1"
"Deprivation Rate","2022","Male","%","15.6"
"Deprivation Rate","2022","Female","%","18.6"
"Consistent Poverty Rate","2020","Both sexes","%","4.7"
"Consistent Poverty Rate","2020","Male","%","4.5"
"Consistent Poverty Rate","2020","Female","%","4.8"
"Consistent Poverty Rate","2021","Both sexes","%","4"
"Consistent Poverty Rate","2021","Male","%","3.6"
"Consistent Poverty Rate","2021","Female","%","4.3"
"Consistent Poverty Rate","2022","Both sexes","%",""
"Consistent Poverty Rate","2022","Male","%",""
"Consistent Poverty Rate","2022","Female","%",""
