"Statistic Label","Year","Principal Economic Status","UNIT","VALUE"
"Median Real Household Disposable Income","2020","Employed","Euro","57124"
"Median Real Household Disposable Income","2020","Unemployed","Euro","27557"
"Median Real Household Disposable Income","2020","Retired","Euro","30260"
"Median Real Household Disposable Income","2020","Unable to work due to long-standing health problems","Euro","20049"
"Median Real Household Disposable Income","2020","Student, pupil","Euro",""
"Median Real Household Disposable Income","2020","Fulfilling domestic tasks","Euro","39723"
"Median Real Household Disposable Income","2021","Employed","Euro","60823"
"Median Real Household Disposable Income","2021","Unemployed","Euro","34017"
"Median Real Household Disposable Income","2021","Retired","Euro","30283"
"Median Real Household Disposable Income","2021","Unable to work due to long-standing health problems","Euro","19357"
"Median Real Household Disposable Income","2021","Student, pupil","Euro",""
"Median Real Household Disposable Income","2021","Fulfilling domestic tasks","Euro","39889"
"Median Real Household Disposable Income","2022","Employed","Euro",""
"Median Real Household Disposable Income","2022","Unemployed","Euro",""
"Median Real Household Disposable Income","2022","Retired","Euro",""
"Median Real Household Disposable Income","2022","Unable to work due to long-standing health problems","Euro",""
"Median Real Household Disposable Income","2022","Student, pupil","Euro",""
"Median Real Household Disposable Income","2022","Fulfilling domestic tasks","Euro",""
"Mean Real Household Disposable Income","2020","Employed","Euro","64975"
"Mean Real Household Disposable Income","2020","Unemployed","Euro","35453"
"Mean Real Household Disposable Income","2020","Retired","Euro","38752"
"Mean Real Household Disposable Income","2020","Unable to work due to long-standing health problems","Euro","28773"
"Mean Real Household Disposable Income","2020","Student, pupil","Euro",""
"Mean Real Household Disposable Income","2020","Fulfilling domestic tasks","Euro","45926"
"Mean Real Household Disposable Income","2021","Employed","Euro","68142"
"Mean Real Household Disposable Income","2021","Unemployed","Euro","39929"
"Mean Real Household Disposable Income","2021","Retired","Euro","39657"
"Mean Real Household Disposable Income","2021","Unable to work due to long-standing health problems","Euro","28006"
"Mean Real Household Disposable Income","2021","Student, pupil","Euro",""
"Mean Real Household Disposable Income","2021","Fulfilling domestic tasks","Euro","46961"
"Mean Real Household Disposable Income","2022","Employed","Euro",""
"Mean Real Household Disposable Income","2022","Unemployed","Euro",""
"Mean Real Household Disposable Income","2022","Retired","Euro",""
"Mean Real Household Disposable Income","2022","Unable to work due to long-standing health problems","Euro",""
"Mean Real Household Disposable Income","2022","Student, pupil","Euro",""
"Mean Real Household Disposable Income","2022","Fulfilling domestic tasks","Euro",""
"Median Nominal Household Disposable Income","2020","Employed","Euro","57124"
"Median Nominal Household Disposable Income","2020","Unemployed","Euro","27557"
"Median Nominal Household Disposable Income","2020","Retired","Euro","30260"
"Median Nominal Household Disposable Income","2020","Unable to work due to long-standing health problems","Euro","20049"
"Median Nominal Household Disposable Income","2020","Student, pupil","Euro",""
"Median Nominal Household Disposable Income","2020","Fulfilling domestic tasks","Euro","39723"
"Median Nominal Household Disposable Income","2021","Employed","Euro","60619"
"Median Nominal Household Disposable Income","2021","Unemployed","Euro","33903"
