"Statistic Label","Year","Number of Persons at Work in the Household","UNIT","VALUE"
"Median Real Household Disposable Income","2020","No person","Euro","24892"
"Median Real Household Disposable Income","2020","1 person","Euro","40480"
"Median Real Household Disposable Income","2020","2 persons","Euro","66651"
"Median Real Household Disposable Income","2020","3 or more persons","Euro","87855"
"Median Real Household Disposable Income","2021","No person","Euro","25479"
"Median Real Household Disposable Income","2021","1 person","Euro","42070"
"Median Real Household Disposable Income","2021","2 persons","Euro","70218"
"Median Real Household Disposable Income","2021","3 or more persons","Euro","96369"
"Median Real Household Disposable Income","2022","No person","Euro",""
"Median Real Household Disposable Income","2022","1 person","Euro",""
"Median Real Household Disposable Income","2022","2 persons","Euro",""
"Median Real Household Disposable Income","2022","3 or more persons","Euro",""
"Mean Real Household Disposable Income","2020","No person","Euro","28822"
"Mean Real Household Disposable Income","2020","1 person","Euro","47591"
"Mean Real Household Disposable Income","2020","2 persons","Euro","76040"
"Mean Real Household Disposable Income","2020","3 or more persons","Euro","96580"
"Mean Real Household Disposable Income","2021","No person","Euro","29654"
"Mean Real Household Disposable Income","2021","1 person","Euro","51232"
"Mean Real Household Disposable Income","2021","2 persons","Euro","77212"
"Mean Real Household Disposable Income","2021","3 or more persons","Euro","107268"
"Mean Real Household Disposable Income","2022","No person","Euro",""
"Mean Real Household Disposable Income","2022","1 person","Euro",""
"Mean Real Household Disposable Income","2022","2 persons","Euro",""
"Mean Real Household Disposable Income","2022","3 or more persons","Euro",""
"Median Nominal Household Disposable Income","2020","No person","Euro","24892"
"Median Nominal Household Disposable Income","2020","1 person","Euro","40480"
"Median Nominal Household Disposable Income","2020","2 persons","Euro","66651"
"Median Nominal Household Disposable Income","2020","3 or more persons","Euro","87855"
"Median Nominal Household Disposable Income","2021","No person","Euro","25394"
"Median Nominal Household Disposable Income","2021","1 person","Euro","41929"
"Median Nominal Household Disposable Income","2021","2 persons","Euro","69983"
"Median Nominal Household Disposable Income","2021","3 or more persons","Euro","96046"
"Median Nominal Household Disposable Income","2022","No person","Euro",""
"Median Nominal Household Disposable Income","2022","1 person","Euro",""
"Median Nominal Household Disposable Income","2022","2 persons","Euro",""
"Median Nominal Household Disposable Income","2022","3 or more persons","Euro",""
"Mean Nominal Household Disposable Income","2020","No person","Euro","28822"
"Mean Nominal Household Disposable Income","2020","1 person","Euro","47591"
"Mean Nominal Household Disposable Income","2020","2 persons","Euro","76040"
"Mean Nominal Household Disposable Income","2020","3 or more persons","Euro","96580"
"Mean Nominal Household Disposable Income","2021","No person","Euro","29555"
"Mean Nominal Household Disposable Income","2021","1 person","Euro","51060"
"Mean Nominal Household Disposable Income","2021","2 persons","Euro","76953"
"Mean Nominal Household Disposable Income","2021","3 or more persons","Euro","106909"
"Mean Nominal Household Disposable Income","2022","No person","Euro",""
"Mean Nominal Household Disposable Income","2022","1 person","Euro",""
"Mean Nominal Household Disposable Income","2022","2 persons","Euro",""
"Mean Nominal Household Disposable Income","2022","3 or more persons","Euro",""
"Median Equivalised Real Disposable Income","2020","No person","Euro","16955"
"Median Equivalised Real Disposable Income","2020","1 person","Euro","21568"
"Median Equivalised Real Disposable Income","2020","2 persons","Euro","28488"
"Median Equivalised Real Disposable Income","2020","3 or more persons","Euro","27147"
"Median Equivalised Real Disposable Income","2021","No person","Euro","17432"
"Median Equivalised Real Disposable Income","2021","1 person","Euro","23622"
"Median Equivalised Real Disposable Income","2021","2 persons","Euro","30086"
"Median Equivalised Real Disposable Income","2021","3 or more persons","Euro","31396"
"Median Equivalised Real Disposable Income","2022","No person","Euro",""
"Median Equivalised Real Disposable Income","2022","1 person","Euro",""
"Median Equivalised Real Disposable Income","2022","2 persons","Euro",""
"Median Equivalised Real Disposable Income","2022","3 or more persons","Euro",""
"Mean Equivalised Real Disposable Income","2020","No person","Euro","20233"
"Mean Equivalised Real Disposable Income","2020","1 person","Euro","26020"
"Mean Equivalised Real Disposable Income","2020","2 persons","Euro","32686"
"Mean Equivalised Real Disposable Income","2020","3 or more persons","Euro","29861"
"Mean Equivalised Real Disposable Income","2021","No person","Euro","20874"
"Mean Equivalised Real Disposable Income","2021","1 person","Euro","27811"
"Mean Equivalised Real Disposable Income","2021","2 persons","Euro","32840"
"Mean Equivalised Real Disposable Income","2021","3 or more persons","Euro","34161"
"Mean Equivalised Real Disposable Income","2022","No person","Euro",""
"Mean Equivalised Real Disposable Income","2022","1 person","Euro",""
"Mean Equivalised Real Disposable Income","2022","2 persons","Euro",""
"Mean Equivalised Real Disposable Income","2022","3 or more persons","Euro",""
"Median Equivalised Nominal Disposable Income","2020","No person","Euro","16955"
"Median Equivalised Nominal Disposable Income","2020","1 person","Euro","21568"
"Median Equivalised Nominal Disposable Income","2020","2 persons","Euro","28488"
"Median Equivalised Nominal Disposable Income","2020","3 or more persons","Euro","27147"
