"Statistic Label","Year","Region","UNIT","VALUE"
"Median Real Household Disposable Income","2020","Northern and Western","Euro","35076"
"Median Real Household Disposable Income","2020","Southern","Euro","40640"
"Median Real Household Disposable Income","2020","Eastern and Midland","Euro","50513"
"Median Real Household Disposable Income","2021","Northern and Western","Euro","38311"
"Median Real Household Disposable Income","2021","Southern","Euro","41533"
"Median Real Household Disposable Income","2021","Eastern and Midland","Euro","53078"
"Median Real Household Disposable Income","2022","Northern and Western","Euro",""
"Median Real Household Disposable Income","2022","Southern","Euro",""
"Median Real Household Disposable Income","2022","Eastern and Midland","Euro",""
"Mean Real Household Disposable Income","2020","Northern and Western","Euro","42942"
"Mean Real Household Disposable Income","2020","Southern","Euro","47676"
"Mean Real Household Disposable Income","2020","Eastern and Midland","Euro","60178"
"Mean Real Household Disposable Income","2021","Northern and Western","Euro","48783"
"Mean Real Household Disposable Income","2021","Southern","Euro","48650"
"Mean Real Household Disposable Income","2021","Eastern and Midland","Euro","61476"
"Mean Real Household Disposable Income","2022","Northern and Western","Euro",""
"Mean Real Household Disposable Income","2022","Southern","Euro",""
"Mean Real Household Disposable Income","2022","Eastern and Midland","Euro",""
"Median Nominal Household Disposable Income","2020","Northern and Western","Euro","35076"
"Median Nominal Household Disposable Income","2020","Southern","Euro","40640"
"Median Nominal Household Disposable Income","2020","Eastern and Midland","Euro","50513"
"Median Nominal Household Disposable Income","2021","Northern and Western","Euro","38183"
"Median Nominal Household Disposable Income","2021","Southern","Euro","41394"
"Median Nominal Household Disposable Income","2021","Eastern and Midland","Euro","52900"
"Median Nominal Household Disposable Income","2022","Northern and Western","Euro",""
"Median Nominal Household Disposable Income","2022","Southern","Euro",""
"Median Nominal Household Disposable Income","2022","Eastern and Midland","Euro",""
"Mean Nominal Household Disposable Income","2020","Northern and Western","Euro","42942"
"Mean Nominal Household Disposable Income","2020","Southern","Euro","47676"
"Mean Nominal Household Disposable Income","2020","Eastern and Midland","Euro","60178"
"Mean Nominal Household Disposable Income","2021","Northern and Western","Euro","48620"
"Mean Nominal Household Disposable Income","2021","Southern","Euro","48487"
"Mean Nominal Household Disposable Income","2021","Eastern and Midland","Euro","61270"
"Mean Nominal Household Disposable Income","2022","Northern and Western","Euro",""
"Mean Nominal Household Disposable Income","2022","Southern","Euro",""
"Mean Nominal Household Disposable Income","2022","Eastern and Midland","Euro",""
"Median Equivalised Real Disposable Income","2020","Northern and Western","Euro","20465"
"Median Equivalised Real Disposable Income","2020","Southern","Euro","22575"
"Median Equivalised Real Disposable Income","2020","Eastern and Midland","Euro","25868"
"Median Equivalised Real Disposable Income","2021","Northern and Western","Euro","23326"
"Median Equivalised Real Disposable Income","2021","Southern","Euro","23893"
"Median Equivalised Real Disposable Income","2021","Eastern and Midland","Euro","27796"
"Median Equivalised Real Disposable Income","2022","Northern and Western","Euro",""
"Median Equivalised Real Disposable Income","2022","Southern","Euro",""
"Median Equivalised Real Disposable Income","2022","Eastern and Midland","Euro",""
"Mean Equivalised Real Disposable Income","2020","Northern and Western","Euro","23632"
"Mean Equivalised Real Disposable Income","2020","Southern","Euro","25580"
"Mean Equivalised Real Disposable Income","2020","Eastern and Midland","Euro","30497"
"Mean Equivalised Real Disposable Income","2021","Northern and Western","Euro","26414"
"Mean Equivalised Real Disposable Income","2021","Southern","Euro","26389"
"Mean Equivalised Real Disposable Income","2021","Eastern and Midland","Euro","31223"
"Mean Equivalised Real Disposable Income","2022","Northern and Western","Euro",""
"Mean Equivalised Real Disposable Income","2022","Southern","Euro",""
"Mean Equivalised Real Disposable Income","2022","Eastern and Midland","Euro",""
"Median Equivalised Nominal Disposable Income","2020","Northern and Western","Euro","20465"
"Median Equivalised Nominal Disposable Income","2020","Southern","Euro","22575"
"Median Equivalised Nominal Disposable Income","2020","Eastern and Midland","Euro","25868"
"Median Equivalised Nominal Disposable Income","2021","Northern and Western","Euro","23248"
