"Statistic Label","Year","Household Composition","UNIT","VALUE"
"Profile of the Population","2020","1 adult aged 65 years and over","%","4.9"
"Profile of the Population","2020","1 adult aged less than 65 years","%","5.5"
"Profile of the Population","2020","2 adults, at least 1 aged 65 years and over","%","8.9"
"Profile of the Population","2020","2 adults, both aged less than 65 years","%","11.3"
"Profile of the Population","2020","3 or more adults","%","16.5"
"Profile of the Population","2020","1 adult, with children under 18 years","%","5.3"
"Profile of the Population","2020","2 adults, with 1-3 children under 18 years","%","30.8"
"Profile of the Population","2020","Other households with children under 18 years","%","16.9"
"Profile of the Population","2021","1 adult aged 65 years and over","%","5.2"
"Profile of the Population","2021","1 adult aged less than 65 years","%","5.6"
"Profile of the Population","2021","2 adults, at least 1 aged 65 years and over","%","9.1"
"Profile of the Population","2021","2 adults, both aged less than 65 years","%","10.7"
"Profile of the Population","2021","3 or more adults","%","17.3"
"Profile of the Population","2021","1 adult, with children under 18 years","%","4.7"
"Profile of the Population","2021","2 adults, with 1-3 children under 18 years","%","30"
"Profile of the Population","2021","Other households with children under 18 years","%","17.3"
"Profile of the Population","2022","1 adult aged 65 years and over","%","4.8"
"Profile of the Population","2022","1 adult aged less than 65 years","%","6.1"
"Profile of the Population","2022","2 adults, at least 1 aged 65 years and over","%","9.5"
"Profile of the Population","2022","2 adults, both aged less than 65 years","%","11"
"Profile of the Population","2022","3 or more adults","%","17.1"
"Profile of the Population","2022","1 adult, with children under 18 years","%","5.1"
"Profile of the Population","2022","2 adults, with 1-3 children under 18 years","%","31.2"
"Profile of the Population","2022","Other households with children under 18 years","%","15.1"
"At Risk of Poverty","2020","1 adult aged 65 years and over","%","7.6"
"At Risk of Poverty","2020","1 adult aged less than 65 years","%","12"
"At Risk of Poverty","2020","2 adults, at least 1 aged 65 years and over","%","3"
"At Risk of Poverty","2020","2 adults, both aged less than 65 years","%","7.3"
"At Risk of Poverty","2020","3 or more adults","%","9.7"
"At Risk of Poverty","2020","1 adult, with children under 18 years","%","12.4"
"At Risk of Poverty","2020","2 adults, with 1-3 children under 18 years","%","23.1"
"At Risk of Poverty","2020","Other households with children under 18 years","%","25"
"At Risk of Poverty","2021","1 adult aged 65 years and over","%","9.5"
"At Risk of Poverty","2021","1 adult aged less than 65 years","%","13.7"
"At Risk of Poverty","2021","2 adults, at least 1 aged 65 years and over","%","6.9"
"At Risk of Poverty","2021","2 adults, both aged less than 65 years","%","7.6"
"At Risk of Poverty","2021","3 or more adults","%","9"
"At Risk of Poverty","2021","1 adult, with children under 18 years","%","9.3"
"At Risk of Poverty","2021","2 adults, with 1-3 children under 18 years","%","23.6"
"At Risk of Poverty","2021","Other households with children under 18 years","%","20.4"
"At Risk of Poverty","2022","1 adult aged 65 years and over","%",""
"At Risk of Poverty","2022","1 adult aged less than 65 years","%",""
"At Risk of Poverty","2022","2 adults, at least 1 aged 65 years and over","%",""
"At Risk of Poverty","2022","2 adults, both aged less than 65 years","%",""
"At Risk of Poverty","2022","3 or more adults","%",""
"At Risk of Poverty","2022","1 adult, with children under 18 years","%",""
"At Risk of Poverty","2022","2 adults, with 1-3 children under 18 years","%",""
"At Risk of Poverty","2022","Other households with children under 18 years","%",""
"Deprivation Rate","2020","1 adult aged 65 years and over","%","3.6"
"Deprivation Rate","2020","1 adult aged less than 65 years","%","8.4"
"Deprivation Rate","2020","2 adults, at least 1 aged 65 years and over","%","4.2"
"Deprivation Rate","2020","2 adults, both aged less than 65 years","%","9.2"
"Deprivation Rate","2020","3 or more adults","%","9"
"Deprivation Rate","2020","1 adult, with children under 18 years","%","16.3"
"Deprivation Rate","2020","2 adults, with 1-3 children under 18 years","%","26.6"
"Deprivation Rate","2020","Other households with children under 18 years","%","22.6"
"Deprivation Rate","2021","1 adult aged 65 years and over","%","4.5"
"Deprivation Rate","2021","1 adult aged less than 65 years","%","7.9"
"Deprivation Rate","2021","2 adults, at least 1 aged 65 years and over","%","4.5"
"Deprivation Rate","2021","2 adults, both aged less than 65 years","%","11.9"
"Deprivation Rate","2021","3 or more adults","%","13.6"
"Deprivation Rate","2021","1 adult, with children under 18 years","%","15.4"
"Deprivation Rate","2021","2 adults, with 1-3 children under 18 years","%","23.3"
"Deprivation Rate","2021","Other households with children under 18 years","%","18.9"
"Deprivation Rate","2022","1 adult aged 65 years and over","%","4.4"
"Deprivation Rate","2022","1 adult aged less than 65 years","%","8.9"
"Deprivation Rate","2022","2 adults, at least 1 aged 65 years and over","%","4.2"
"Deprivation Rate","2022","2 adults, both aged less than 65 years","%","11.7"
"Deprivation Rate","2022","3 or more adults","%","10.6"
"Deprivation Rate","2022","1 adult, with children under 18 years","%","13.5"
"Deprivation Rate","2022","2 adults, with 1-3 children under 18 years","%","33.3"
"Deprivation Rate","2022","Other households with children under 18 years","%","13.4"
"In Consistent Poverty","2020","1 adult aged 65 years and over","%","2.3"
"In Consistent Poverty","2020","1 adult aged less than 65 years","%","13.4"
"In Consistent Poverty","2020","2 adults, at least 1 aged 65 years and over","%","0.8"
"In Consistent Poverty","2020","2 adults, both aged less than 65 years","%","8.5"
"In Consistent Poverty","2020","3 or more adults","%","3.8"
"In Consistent Poverty","2020","1 adult, with children under 18 years","%","22"
"In Consistent Poverty","2020","2 adults, with 1-3 children under 18 years","%","19.9"
"In Consistent Poverty","2020","Other households with children under 18 years","%","29.3"
"In Consistent Poverty","2021","1 adult aged 65 years and over","%","5.6"
"In Consistent Poverty","2021","1 adult aged less than 65 years","%","15.5"
"In Consistent Poverty","2021","2 adults, at least 1 aged 65 years and over","%","5.2"
"In Consistent Poverty","2021","2 adults, both aged less than 65 years","%","9.2"
"In Consistent Poverty","2021","3 or more adults","%","9.6"
"In Consistent Poverty","2021","1 adult, with children under 18 years","%","15.7"
"In Consistent Poverty","2021","2 adults, with 1-3 children under 18 years","%","22.4"
