Statistic Label,Year,Principal Economic Status,UNIT,VALUE,File_Name,Highest Level of Education Completed,Household Composition,Number of Persons at Work in the Household,Tenure Status,Urban and Rural,Region,Number of People at Work
Median Real Household Disposable Income,2020,Employed,Euro,57124.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,Unemployed,Euro,27557.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,Retired,Euro,30260.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,Unable to work due to long-standing health problems,Euro,20049.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2020,Fulfilling domestic tasks,Euro,39723.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,Employed,Euro,60823.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,Unemployed,Euro,34017.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,Retired,Euro,30283.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,Unable to work due to long-standing health problems,Euro,19357.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2021,Fulfilling domestic tasks,Euro,39889.0,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,Employed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,Unemployed,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,Retired,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,Unable to work due to long-standing health problems,Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,"Student, pupil",Euro,,SIA62.20221204T051248.csv,,,,,,,
Median Real Household Disposable Income,2022,Fulfilling domestic tasks,Euro,,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2020,Employed,Euro,64975.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2020,Unemployed,Euro,35453.0,SIA62.20221204T051248.csv,,,,,,,
Mean Real Household Disposable Income,2020,Retired,Euro,38752.0,SIA62.20221204T051248.csv,,,,,,,
